content,score
over all Ok,5
lambat,3
👍👍,5
driver na ramah dan tepat wkt,5
mantap,5
sangat memudahkan,5
bagus👍👍👍,5
🙏,5
"makin kaga beres aplikasi food nya,,bayar ongkir yg mahal masih aja orderan food nya digabungin,,",1
👍👍,5
👍,5
sangat baik,5
blue bird driver nya ramah baik bgt,5
ok,5
baik,5
lumayan sih ramah,4
sopan dan ramah,5
cepat,5
Terima kasih ☺️😊,5
good,5
"Kebanyakan iklan sekarnag bjir. Mesan apa², iklan selalu",1
hemat & cepat,5
semoga smakin bagus pelayanannya🙏🙏,5
gak usah munculin notif gak jelas waktu gw main,1
terima kasih,5
baik dan cepat tanggap,5
mantap,5
makin bobrok aja aplikasi grab,1
Terimakasih sangat membantu...,5
cepat & baik,5
banyakin promo,5
"pelayanan ok,orngnya jg ramah .",5
good,5
mantap👍,5
driver nya bagus,5
mantappp,5
ok,5
best driver,5
tidak bisa bayar tunai mohon diperbaiki,1
goodjob,5
layanan ok,5
good,5
mantab,5
simple tanpa ribet,4
bagus dan sangat membantu,5
mantap,5
mantap,5
amanah,5
Ojol ramah. Baik,5
makanan datang tepat waktu,5
mantap cepat,5
dowload nya mayan lama.,4
oke,5
semangat,5
pengemudinya ramah dan baik,5
mempermudah dalam segala hal,5
membantu banget,5
keren,5
"1. ketika toko tutup tapi di apk nya buka ga bisa dicancel itu beneran susah banget terus klo do cancel sama driver nya dapet lagi driver lain dan harus jelasin lagi di grabfood nya itu ribet banget 2. apk itu menjaga privasi driver tapi ngga menjaga privasi customer masa udh driver nya bisa liat no, setidaknya data yg kek gitu simpen aja sama perusahaan ganggu privasi customer 3. kadang klo ada grabhemat itu driver suka marah marah karena customer pake itu, itu ngapain ada fitur klo driver gmau",3
"pelayanan nya lama, sama mau cancel aja susah nya minta ampun. NO RECOMENDED",1
puas nyaman dan aman,5
"kita butuh cepat grab express bayar mahal2 90rb tapi malah didahulukan orderan lain padahal saya orderan pertama masuk , malah dahulukan orderan kedua, mmg asem ini , ga rekomend sekali mau cepat jadi lambat bangke",2
ramah dan kami puas,5
mantap drivernya sehat sehat ya pa,5
aplikasi nya bagus sangat membantu dan ada promo juga pokok nya terbaik buat grab,5
ramah & sopan,5
keren,5
"Kalau lagi SEPI ORDERAN masih gak ada VOUCHER DISKON GRAB BIKE DAN GRAB CAR, saya kurangi naik kendaraan umum pakai aplikasi ini",1
aplikasi yg sanggat bagus untuk digunakan dan sangagat membantu,5
suka banget,5
ok,5
mantap sekali,5
efisien dan mudah,5
baik,5
terima kasih,5
greb sangat membantu dan sy suka banget menggunakannya.termakasih greb🙏🙏,5
sangat membantu saya dalam perjalanan,5
ok,5
sangat membantu dan mudah untuk digunakannya,5
enak pakek aplikasi ini,5
baru mau coba semoga bermanpaat,5
layanan cepat,4
terimakasih pk sudah antar sayah dengan selamat,5
"Aplikasi Tolol, Mau masuk aja susah",1
lain driver datang kalo order sama plak berbeda.,1
sangat membantu,5
jos,5
mantaabbb,5
layanan cepat,5
promo scam belum dipake udh hilang,1
"atribut lengkap,perjalanannya aman dan nyaman sampai tujuan",5
sangat baik berkendara,5
pelayanan yg sangat baik,5
cepat,5
ramah,5
sejauh ini bagus & pelayanan memuaskan,5
baik,5
cocok untuk berpergian,5
bagus,5
pelayanan cepat...,4
mantapp larinya ..buat pa supir grab trima kasih bnyak udh nganter sampe tujuan tanpa masalah 👍,5
"driver nya selalu gk ada, tolong lah saya mau bepergian,tapi mobilnya gk dapet² tolong buat aplikasi grab agar di perbaiki lagi.",1
akses cepat,4
sangat puas Krn sgt memudahkan Kmn mn,5
sangat terbantu & puas dengan pelayanan nya,5
tepat waktu,5
sempurna,5
mantap,5
aplikasi ruwet,3
ok,5
"saya pernah pesan grab motor ke lokasi B dari Rumah lalu pulang dari B ke rumah naik grab motor setelah itu pesan makanan ke A tapi saya ga nyadar default pengantaran ke B padahal harusnya Rumah tanpa lihat lagi saya pencet Pesan setelah itu baru nyadar pengantaran ke B harusnya ke Rumah saya coba batalkan tidak bisa akhirnya pas sudah dapat pengemudi saya chat agar pengemudi kirim makanan ke Rumah di jawab ""ya kakak"" tapi pengemudi tetap antar ke B",1
ok,5
solusi disaat mendesak,5
"driver sampah, orderan dibatalkan, diharga aplikasi nominal 50 ribu minta 60 ribu kocakk.",1
aplikasi tolol. wajib vermuk. mesen makanan ribet bener,1
drivernya ramah,5
mantap,5
bagus cmn banyakin lah promonya,5
sangat asik,5
mantap,5
"pertama kali make, dan nggak akan make lagi, informasi terkait beberPa tempat yang sudah jelas di gmaps ada tapi di grab nggak ada, jadi turunnya harus jauh dari lokasi yang di inginkan jadi malas pakai",1
"saya gak pernah se kecewa ini saya tunggu dari jam 22.50 sampai jam 23.34 gak ada yang bisa anter, kalo gaada driver bilang aja gak ada yang aktiv bukan malah saya pesen terus tulisan tunggu lebih lama bodohhh, kalau mau bangkrut bilang aja biar saya uninstall",1
semoga akurat dan tepat,4
sangat mmbantu,5
bagus sekali,5
"grab drivernya pada baik meskipun pakai promo tapi di anter dengan tulus, pokonya driver grab semuanya baikk aku makanya senang naik grab , harga terjangkau pula, smoga grab mensejahterakan mitranya juga yaa, soalnya mereka bekerja dengan baikk..",5
ok,5
"15 menit cari driver, setelah beberapa menit driver ngecancel gak bisa, malah lanjut cari driver 20 menit ujung²nya pesanan dicancel orderan digantung 40 menitan yang ujung²nya gagal kalo emang gak bisa, sediain opsi cancel dari user kalau lebih dari 10 menit, atau cancel otomatis kalo lebih dari 10 menit, biar gak digantung",1
baguss cepet bgt,5
sangat puas pelayanan nya trimksih kak,5
mantap,5
APK GA JELAS DRIVER NYA NOLAK TRUS PADAHAL UDH PAME PRIORITAS,1
Good Job..,5
"pesen makanan telat terus sampe makanannya dingin, tolong di perbaiki ya",2
"apalah aplikasinya gak bisa dibuka nge stuck di lokasimu, padahal itu sudah atu tulis alamatku loh aku coba satu satu, mulai dari kota,kecamatan, bahkan sampai provinsi tapi tetap gak muncul apa apa",1
sopan,5
"biaya parkir apakah wajib ditanggung oleh costumer, aku sering dapat kurir yang minta bayarin parkir nya, bukannya apa, tapi di apk kan sudah ada ongkir dan biaya pemesanan itu gak termasuk biaya parkir 2.000 itu?",1
pencarian driver lamaa sekali sampe setengah jam harus nunggu pencarian driver saja. dibatalkan pun gabisa. tidak seperti apk sebelah durasi menunggu driver hanya 13 menit saja dan bisa dibatalkan jika tidak mau terlalu lama,1
greper ok ramah nyaman trimakasih telah anter ke tempat tujuan dgn aman nyaman pokok nya asyik ok👍👍👍👍👍,5
Bagus,5
bagi gratis,5
pengiriman cepat dan juga ramah,5
godd,4
sangat membantu,5
"syuka ,driver ramah",5
walaupun ada masalah tp sdh terselesaikan. tks,1
"WAKTU TUNGGU GRABFOOD LAMA BANGET!!! MAU CANCEL ORDERAN HRS TUNGGU DULU ORDERANNYA TELAT, NUNGGU HAMPIR 2 JAM. HARUSNYA ADAIN LIVECHAT JGN CHAT SM BOT DOANG!!!",1
mantapp dahhhhh,1
kaga bisa ngebatalin pesenan yg terlambat,1
mantap,5
"baru kali ini terjadi harga di aplikasi grab custemer dengan Mitra Grab berbeda. ini kan merugikan konsumen grab food karena harga yang sebenarnya berbeda dengan yang tertera di konsumen, ini namanya merugikan customer dengan seolah menipu harga",1
love you grab paling amanah 😞🤏🤏❤❤,5
"kenapa driver suka nanya alamat, padahal sudah tertulis di catatan. apakah UI aplikasi driver jelek sehingga driver gak bisa lihat catatan? kenapa driver suka nyuruh kami cancel, padahal mereka yang minta cancel dan bisa mereka yang cancel. mitra2 ini banyak yg malas pick up kalau agak jauh. padahal aku suka beri tip. driver mobil dan motor pun kalau hujan juga malas pick up. padahal kalau hujan, hari libur, macet pasti aku kasih tip. kadang2 belum sampai pun sudah diselesaikan order nya.",2
Pesan tepat waktu. pengemudinya ramah dan sopan,5
good,5
mantap,5
jelek aplikasi,1
good,5
good,5
mahal guys mending beli makan dan eskrim mixue datang sendiri ke resto lebih murah banyak promo tinggal berbagi rezeki ke bang parkiran 3000/5000 supaya berkah hidup kita,1
keren,4
oke,5
sangat berguna sekali dan sangat membantu,5
Layanan Pengendara Yg Baik di dalam Situasi Apapun👍,5
mantap,5
"sekarang knp ada biaya pembatalan yg dikenakan ke pengguna, pengemudi yg tidak tersedia pengguna pula yg dikenakan biaya pembatalan, seharusnya cukupi dulu jumlah pengemudinya sehingga pengguna tidak lama menunggu mencari pengemudi",2
mantappp,5
keren mantap,5
membantu,5
mantap 👍😍,5
mantap,5
ok sangat ramah,5
ok,5
👌,4
"setia selalu, lebih nyaman",5
"mohon berikan tindakan positifnya untuk para garbfood/gofood lainya atas pesanan saya tidak sampai di tangan saya aaat ini,saya pesan mixue udah dibayar tapi barang gaada sampai,semoga kejadian ini tidak terjadi lagi",1
terimakasih sdh membantu,5
bagus,5
sangat baik,5
bagus praktis,5
keren,5
saya puas pake Grabg,5
bagus banget deh,5
ok,5
Istimewa,5
"grab skarang argo nya makin parah di pangkas terus,bukan 2500 LG per kM nya",1
aplikasi yang memuaskan👍,5
"supirnya sangat ramah, sesuai tujuan",5
terlalu susah mencari titik tujuan,3
layanan bagus 👍,5
kasih tindakan pencegahan agar tidak ada orderan fiktif. issue lama tapi gak pernah diberesin. parah.,1
Mantappppo,5
grab the best pokoknya,5
ramah dan baik,5
sangat bagus,4
👍👍😎bagus,5
baik,5
Aplikasi bagus,5
rekomendasi banget,5
aplikasi update terus perasaan,1
"lebih dari 5x dibatalkan padahal sudah menunggu lama, tanpa konfirmasi dibatalkan",1
nyaman,5
"menu bantuan ada di mana woy, repot banget mau ngelapor kendala doang",1
good job,5
ramah,5
bagus,5
sangat membantu,5
"saya kasih 5bintang semua,, ok",5
"makin kesini lama"" driver grab nya gk jelas saya mesen makan dri grabfood selalu dtng terlambat dri waktu yang di perkirakan udh make yg prioritas tetep aja sama malah bisa sampe nunggu 2 jam dan gk bisa di cancel juga pesanan nya sebelum dpt drivernya bikin orang nunggu laper aja",1
bagus recommended banget apk nya,5
menyenangkan,5
wow bnget,5
mantap,5
"okelah, murah di beberapa kota dibanding kompetitor",5
lambat trs mls harus nunggu sejam buat nyari pengantar dari 14.00 - 15.40 gila aja dh hapus aja mnding,1
cari tujuan ke stasiun sepanjang kok gk ada apa blm di gambar 🤦‍♂️,1
bagus,5
nyaman,4
terbaik,5
pelayanan terbaik☺,5
bagus,5
bagus,5
bgus,5
sangat memuaskan,5
mantap,5
kenapa sekarang grab bisa bayar tunai tapi lama dpt driver giliran nontunai aj langsung cepet dpt gmana cba kalo cuma pnya tunai aj jadinya ga nyaman sekarang pesan² di grab tolong dong kmbliin grab yg dulu,3
sangat membantu,5
"apk,,grab...abay 28 dst..moga bisa jadi yg terbaik dan memuaskan pelanggan nya",5
pengemudinya sangat ramah dan sopan,5
bagus,5
oke,5
tarif mahal map kadang ga sesuai,1
mantap,5
terima kasih sudah melayani dengan baik,5
"awal nya bisa pembayaran pakai tunai tiba"" gak bisa lagi",4
drivernya pencuri,1
jelek bgt,1
sangat nyaman dan memuaskan,5
baik,5
baik bagus,5
sangat membantu perjalanan kami,5
sangt ok. dan membatu,5
"aplikasi nya sering error, untuk memesan grab bike malah tidak muncul",1
membantu,5
sangat baik cepat,5
bagus,5
abangnya ramah👍👍,5
gak bisa telp driver.lokasinya jelek sering salah posisi,2
grab mobil pada semena mena tolong lah yg suka cancel orderan di PM aja sekalian,5
sukse...tetap inovatif terbaik,5
bagus,5
jelek,4
mantap,5
layanan mantap,5
kusuka grab,5
ok👍,5
grab kereeeen,5
mudah digunakan,5
bermanfaat,5
apk yg sangat membantu banged,3
bagus,5
Baik,5
baik,5
"harus di update terus setiap kali mau masuk apk ini.. memory mak mak ni dah penuh,,",3
ok bgt,5
ramah dan nyaman,5
sangat mudah mengakses dan sangat luar biasa,5
ok,5
"baik,cepat,",5
Sgt bgus,5
membantu,5
pelayanan bagus,5
"pelayanan bagus, ramah pengemudinya",5
Mantap,5
mantap,5
sangat mengecewakan pesanan saya jadi laka datangnya karena driver dapat dobel order... cok lah grab kayak shopee dobel order mulu...,1
"order fiktif merajalela. setidaknya adakan divisi khusus untuk memantau orderan tunai/QR, blokir akun fiktif, dan perketat syarat pembuatan orderan tunai/QR. ini masalah serius tapi dibiarkan begitu saja",1
bersih nyaman dan ramah,5
biasa saja,3
baik,5
"tolong di usahakan no. plat dan kendaraan sama dg pesanan, jadi customer tidak was was dalam perjalanan. terimakasih🙏",5
terbaik,5
pelayanan yang sangat baik,5
ok,5
baik,5
murah meriah,5
nyaman,5
"Skrang setiap naik grab driver minta ditambah. kmaren total 135 minta 200. gilaa kan. terjadi tawar menawar mentok diharga 150k. percuma muncul fitur harga tp ga sesuai minta naiknya bisa gede bgt, auto hapus aplikasi dah😭 stiap naik pdhl selalu kasih tips tanpa diminta. skrg kalo blum jln aja udh minta dinaikin, songong bgt",2
mantab,5
"pengemudi sopan,tepat waktu",5
parah sekarang grabfood nya nggak sesuai waktu banyak terlambatnya,2
Mantap,5
good,5
pengalaman pertama sangat menyenangkan dan terjangkau,5
ok,5
sangat membant bepergian kami,5
ramah,5
mantap,5
"grab sekarang tdk bisa mengetahui no kontak driver, barang sy ketinggalan mesti pakai jalur pelaporan yg lamaa sekali responya. padahal sy sdh chat di aplikasi minta kontak biar bisa janjian pengembalian. tdk tahu apa barang sy dikembalikan atau tidak ini.. padahal butuh sekali.. kalau dikembalikan sy rubah ulasannya.",1
"Mau Beli Makanan Saja Masih Harus Verifikasi Wajah , Ini Mau Membuat Pengguna Grab Di'per'sulit Atau Bagaimana ?",1
grab ribet maunya non tunai,2
Sangat bagus,5
login sulit ... mohon infonya,1
"pengguna baru, udah top up ovo buat beli makan,tapi tidak bisa menggunakan promo apapun, keterangan nya promo tidak bisa digunakan. dicoba di menu lain sama. padahal sebelumnya bisa tapi sewaktu ganti lokasi tiba tiba gak bisa pakai promo sama sekali.., coba telpon call canter gak ada yang angkat, sekian dan terimakasih. coba chat lewat Instagram resmi gak membantu , sudah dibuatkan tiket order dan sudah ngirim bukti kendala tapi gak ada kemajuan sama sekali haha",1
"aplikasinya jelek banget saya pesen makana dengam ongkir yang mahal, masa harus nunggu sampe 2 jam",1
baik,5
sangat mmbantu grab is the best,4
oke,5
mantap,5
mantap,5
"sangat membantu ,tapi tarif ada mahal sedikit terkadang macam tidak sesuai dan tidak tentu harga tarifnya",5
sayang bgt klo untuk grabcar diatas jam 11 mlm susah bgt,1
"driver grab di PRINGSEWU, LAMPUNG suka minta harga 2x - 3x lipat dari harga yang tertera di aplikasi kalau tidak mau kita yang suruh batalin orderanya",1
ongkir terlalu mahal melebihi harga yang di beli,1
sangat membantu,5
tidak sebagus dulu,1
bagus n cepat,5
"Harga di naikin banyak dari aslinya, ada biaya lain lainnya, gk bisa dibatalin padahal udah lama nunggu, dikasih iklan bejibun lagi di aplikasinya, padahal udah sebanyak itu untungnya grab!",1
"Sudahlah harga di mark-up gila gilaan, ada biaya layanan dan lainnya, ongkirnya mahal, gak bisa dibatalin padahal udah lama nunggunya, banyak iklan lagi",1
"Awal 2020 saya ok stars 5, sekarang maaf bgt ! Dear Grab, please utamakan Driver di app dulu ketimbang banyak fiture Ono ini , dengan segala pengkondisian. Jikalau driver di nomor sekian percuma ga nyaman. Makin kesini rata2 driver suka marah2 ,tensi tinggi2, ditunggu lama ga dateng2, musim hujan kurang proper & Suka banget minta dibatalkan tapi tetep jemput maunya Offline supaya ga kena margin Jam 3 pagi bisa apa?Inget ini Uda rata2. Cust bayar grab lebih mehong dari app sebelah,Mala kebalik",1
"Udah harga mark-up gila gilaan, biaya layanan dan lainnya, bahkan ongkir gak jelas, masih aja disuguhin iklan. apalah grab!",1
"sedikit agak mahal yaa sekarang, apa saya aja yang sudah lama tidak menggunakan jasa ini",5
Grab nya bagus tp sayangnya utk makananya kok tidak sesuai expektasi yg pernah saya beli di kota malang? telur bebek 3 seharusnya martabaknya terlihat besar/tebal tp ini kok tipis spt telor 1 ya? moga jadi perbaikan kedepannya,5
nyaman dan cepat penjemputan nya,5
maaf sebelumnya akhr² ini kenapa slalu dapat drivenya lama terus dan lama ya. enakan dulu sistemnya. ga kaya sekarang harus nunggu 1 jam atau 30 menitan bru dpt drive biasanya langsung cpt. dan skrng ada sistem prioritas segala dan hemat. ga kaya dulu sistemnya.. sekarang saya juga pake prioritas ttp saja.,2
mantap pokok ny grep mah bagi saya,5
"udh order makanan, lama bgt dpt drivernya gabisa dicancel. hrsnya ada fitur cancel klo 15-20menit gak dpt driver",1
ok,5
Baik,5
baik untuk yang gak mau keluar,5
"kalo sekiranya ga nemu driver. batalin otomatis aja, gausah PHP",1
bagus sih,5
keren,5
Driver sering nolak,1
sopirnya ramah mobilnya nyaman,5
"cukup memuaskan,👍",5
lama mesen dari jam 7 sampai sekarang jam 10 grabfood 😠,1
drivenya pada minta uang yang gk sesuai dengan aplikasi,1
mantap,5
"mantap,tingkatkan lagi waktu dalam penjemputan",5
"minta di update tapi gak bisa2,😢",1
"kecewa sumpah, baru kali ini Nerima driver sdh memotong saldo ovo saya tpi tidak dtng² driver.. tolong lah bekukan akun nya dgn plat polisi B 5211 TKD HONDA VARIO a/n Sudarsono",1
okt,5
👎,1
ramah,5
"untuk pengguna baru sangat kesulitan memasukkan alamat, tidak ada hasil pencaharian",2
"TOLONG benahi grab food nya. sy udah pesen dr jam 7.12PM tp smpe sekitar jam 7. 45PM blm dpt driver. krn lama, sy mau batalin. TP GA BISA, GA ADA OPSI NYA. sesuai prosedur grab, katanya minta driver yg batalin. setelah beberapa mnt dpt driver, sy udh minta batalin. tpi di grab sy masih belum ada opsi BATALKAN jg, katanya hrs NUNGGU smp 8.30PM biar bisa batalin, capek. cust harusnya ada opsi BATALIN. krn udh nunggu>30 mnt akhirnya sy beli lgsg, tpi dri grab ttp g bs di batalin, jd sy beli dobel²!",1
deraiver ramah dan nyaman,5
Pesan grab food nunggu setengah jam belum nemu pengemudi gak bisa dibatalin harus nunggu lagi setengah jam baru bisa dibatalin,1
ok,5
saya pengguna lama tetapi makin ke sini makin buruk pelayanannya atas responnya saya sudah claim ke cs tapi hanya iya dan baek saja jawabannya,1
sangat memuaskan,5
Feel safe,5
aplikasi serakah.... dah bayar ongkir mahal.... malah pesan makanan lama datang nya gara gara di buat sitem pengantaran double order.....,1
lama datang nya udah 2jam nunggu blom sampai grabfood,1
Sangat menyenangkan Lo,5
"tidak ada yang mau angkut saya, tolong dikasi peringatan kepada seluruh drivernya",1
bobrok,1
membantu sekali,5
"untuk pembatalan pesanan makanan, saya rasa terlalu lama waktu menunggu nya agar pesanan bisa dibatalkan. nunggu hampir dua jam tidak ada kepastian karena pengemudi tidak tersedia. mau dibatalkan nanti mau pesan yg lain tiba² pesanan yg lama tiba. kan bisa double order.",5
sdah 100% berhasil dowload tpi kok lma skli buat diksi notif. 8,5
"aplikasi gak jelas, gk ada opsi pembatalan pesanan, nunggu pesanan berjam jam, disuruh sabar menunggu, gk ada kompensasi sama sekali, aplikasi mau untung sendiri, gk peduli ma CS sama sekali. klo emang gk ada driver yg mo ambil pesanan bagaimana? suruh nunggu sampe besok kah? kasihan juga driver nya pasti kena komplain dri CS, pihak develop cari aman,",1
driver tidak bergerak tiba tiba udah nyampe,2
apik,5
BANYAK IKLANNYA,1
puas,5
satu jam saya tunggu mau cancel tak dapat🥱,1
recommend,5
"parah banget, masa di aplikasi ongkir 23.000 tapi kurir nya nerima 12.000, tolong kasihan kurir nya masa jauh jauh dapat 12.000 sedang kan di aplikasi nya 23.000",2
"driver pilih pilih bayar dikit gk ada ambil bayar banyak rebutan, pesen makan 2 jam lebih gk sampek sampek padahal pihak resto bilang udah di ambil driver , dapet driver di tunggu 1 jam diem di tempat !!! sekali dua kali enggak apa ini berulang ulang !!!",1
👍 bagus,5
mantap dan jempol,5
supir nya baik,5
😊,5
payah! pesanan grabfood saya terlambat,1
"Sekarang grab makin mahal promo sedikit,pengantaran goofood juga lama bgt,perbaikan dong kedepannya 🙂",3
terbaik,5
sangat membantu pas kondisi darurat,5
saya sangat nyaman,5
pesanan ku agak cept y dah ku kasih b5,5
"aplikasi taik , orderan terlambat lama banget gak di kasih cancle",1
sangat membantu,5
untuk pembatalan makanan sangat lama kecewa!!!,1
cepat,5
mantaf,5
sangat membantu,5
jos,5
sanggat membatu,5
terbalik,5
bagus,5
pesen makan udah nunggu 1 jam ga ada driver terus makin lama di undur estimasi waktunya. udah lapar ga segera dapat driver mana ga bisa dibatalin,1
bagus layananya,4
"apaan cih ujan dikit,jauh dikit cancel",1
makin hari drivernya pada kaga ada attitude dan kocak .,1
trimakasih layanannya... aman cepat sampek tujuan...,5
songong songong pada gk mau ambil orderan,1
oke,5
"Nunggu hampir 1 jam, ga berangkat. emang ga ngotak layanan grab car..",1
aman dan nyaman,5
berikan opsi batalkan pesanan jika melebih garansi sampai tepat waktu yang diberikan oleh grab. GRAB terkesan sangat tidak profesional. kami sebagai customer berhak mendapatkan hak untuk memilih layanan lain jika tidak tepat waktu sesuai yang diberikan pada notifikasi. kenapa diperpanjang 15 menitan terus jika belum mendapat driver!! buang buang waktu dan uang.,1
brab oke lah,5
grab food mahal banget skrg ongkosnya. Lbih baik beli sendiri,1
ramah sabar,5
driver ramah sopan dan komunikatif. penjemputan cepat,5
pelayanan bagus,5
Sangat membantu,5
susaaah bngettt mau pembayaran non tunaiiii gajelasss aplikasinya,1
baik,5
bagus,5
ok,5
help center nya tdk berguna dihapus saja,1
kecewa sangat2..sopir nya g profesional.mending pake aplikasi sebelah..,1
baik,5
good,5
sopan dan lembut bawanya,5
trrbaik,5
terima kasih sudah membantu perjalanan kami,5
"Mantaaap penjemputan,sangat cepat sy kasih bintang 🌟🌟🌟🌟🌟",5
lumayanlah,4
"sangat baik, sopan dan ramah",5
"always the bestt, jangan lupa untuk selalu di tingkatkan 👍",5
layanan mantab istimewah,5
"driver nya pada gak niat kerja. setiap mau order terus saya dapet voucher malah di cancel. dan parahnya lagi udah di pesen dan sudah di acc sama supirnya ehh mlh di cancel tapi supirnya gak mau di cancel, padahal sudah bilang ""saya ke sana sekarang"" tapi gak jalan jalan. tolong dong pak kalau supirnya gak mau kerja jadi driver pecat aja.",1
Pengemudi nya Ga Sopan,1
taabaik,5
pengemudinya ramah mantap,5
knp gak bisa bayar di tempat,1
susah dapat driver area cepu,2
ga bisa cancel bikin rugi waktu dan tenaga,1
"Saya mendadak kesulitan untuk melakukan order, karena ada tetangga saya yg mengubah titik lokasi rumah saya menjadi alamatnya padahal posisi dia 2 blok dari rumah saya. Sehingga menyusahkan driver. Tolong bantuannya",2
Sangat membantu dan memudahkan,5
hari ini tgl 3 Maret 25. aplikasinya kenapa? udah pesan grab. sudah di antar sampai tujuan.. tiba2 muncul driver baru.. dilokasi sewaktu saya naik awal dgn driver yg berbeda padahal saya tidak pesan. pas turun dari driver pertama selesai langsung dpt driver baru. aneh..! pulangnya juga begitu.. udah dapat driver .. sudah chat ok... tiba2 ganti driver. tanpa ada pembatalan. lihat di aplikasi juga tidak ada pembatalan. kasihan drivernya.. dan saya jadi nggak enak..! aplikasinya gimana ini..,3
pengemudinya ramah dan tidak ugal ugalan dalam mengendarai mobil,5
bagus,5
kenapa lama sekali dalam pengantaran makan? ga bagus ini gofood ga jelas udah 1jam nunggu ga dateng2 !!,1
good,5
bagus banget,5
lebih ditingkatkan kan lagi,5
mantapp,5
terimakasih untuk semua kurir Grab sangat memudahkan urusan perut.,5
"pesan grabcar tapi ditolak terus sama abg grabnya, kalau ngk mau rezeki ngapain ngegrab yah, tidur aja dirumah.",1
good job ⭐⭐⭐⭐⭐,5
baik,5
"pelayanan bagus , harga nya terjangkau , grabike hemat nya juara ☺️👍👍",5
pelayanan baik,5
Pengendara ramah dan berkendara dengan aman,5
drivernya baik,5
good jobs,5
mantap,5
mantapppppp,5
baik,5
alhamdulillah bagus,5
sangat nyaman pake grab,5
sangat membantu,5
mantap tepat waktu,5
good,4
"setelah diperbaharui, masuk lebih sulit,untuk menggunakan face wajah,jd gk masuk masuk,jd app grab gk bs dibuka ,tolong diperbaiki lg",3
Sangat membantu,5
"Baru kali ini nemu driver mobil gaje, baru datang udah ngeluh dia kesasar ke gang kecil, kemudian tanya mau kemana, aku jelasin mau ke A, dia kaget ternyata kejauhan bagi dia dan tarifnya murah, loh bukannya itu salah dia sendiri ya? sebelum ambil orderan kan harusnya MATANYA harus lihat mau kemana dulu. Okelah aku bilang aku tambahin tarifnya, setelah aku tambahin lalu dia minta cancel supaya orderan jadi offline. Sepanjang perjalanan jadi mendongkol bngt",2
sangat ngaman,5
puas,5
aman,5
kurirnya top banget dan kedainya juga top lah,5
"kalau kawan sharlok saya tak dapat langsung order grab,sebab kalau saya buka dia akan tunjuk peta jalan sahaja bukan harga,saya dah Cuba upgrade pun hasil tetap sama",5
good,5
susah dapat grab nya pdhl kondisi udh gak puasa dan udah agak lama dri lebaran,1
terima kasih,5
"Kerja sama yg baik dg hasil memuaskan, terima kasih",5
"aplikasi sampah, di Palembang banyak driver y. tapi gag ada ambil ke bandara.",1
naik grab muda dan nyaman,5
Good,5
sangat membantu,5
terbaik 👍🏼,5
good,5
ok,5
good,4
mantap,5
gak bisa orderan dari sekarang waktu saat ini.,1
aa nya baik dan ramah,5
ok,5
GPS Track delay parah tidak bisa gerak mengikuti posisi driver!,1
nyaman cepet dan rmh,5
ok,5
bisa ke semua tempat kecuali luar negri yg ga mengizinkan pake grab,5
kasih bintang 1 karena mahal kaya mau naik haji,1
top,5
Sejujurnya saya mencintai grab,5
tepat waktu,5
